Title,Genres
Inception,"Action,Adventure,Sci-Fi,Thriller"
The Matrix,"Action,Sci-Fi"
Avengers: Infinity War,"Action,Adventure,Sci-Fi"
Back to the Future,"Adventure,Comedy,Sci-Fi"
The Good the Bad and the Ugly,Western
Spider-Man: Into the Spider-Verse,"Animation,Action,Adventure,Family,Sci-Fi"
The Pianist,"Biography,Drama,Music,War"
Django Unchained,"Drama,Western"
Raiders of the Lost Ark,"Action,Adventure"
Inglourious Basterds,"Adventure,Drama,War"
Taxi Driver,"Crime,Drama"
3 Idiots,"Comedy,Drama"
Pan's Labyrinth,"Drama,Fantasy,War"
Room,"Drama,Thriller"
Monty Python and the Holy Grail,"Adventure,Comedy,Fantasy"
Once Upon a Time in the West,Western
Indiana Jones and the Last Crusade,"Action,Adventure"
Groundhog Day,"Comedy,Fantasy,Romance"
The King's Speech,"Biography,Drama,History"
Her,"Drama,Romance,Sci-Fi"
There Will Be Blood,Drama
The Social Network,"Biography,Drama"
Dallas Buyers Club,"Biography,Drama"
The Perks of Being a Wallflower,"Drama,Romance"
Life of Brian,Comedy
Ex Machina,"Drama,Mystery,Sci-Fi,Thriller"
Silver Linings Playbook,"Comedy,Drama,Romance"
District 9,"Action,Sci-Fi,Thriller"
The Irishman,"Biography,Crime,Drama"
Moon,"Drama,Mystery,Sci-Fi"
Marriage Story,"Comedy,Drama,Romance"
Drive,"Crime,Drama"
Train to Busan,"Action,Horror,Thriller"
Incredibles 2,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
Dangal,"Action,Biography,Drama,Sport"
Klaus,"Animation,Adventure,Comedy,Family"
Minority Report,"Action,Crime,Mystery,Sci-Fi,Thriller"
Mystic River,"Crime,Drama,Mystery,Thriller"
Like Stars on Earth,"Drama,Family"
Ferris Bueller's Day Off,Comedy
Despicable Me,"Animation,Comedy,Family,Fantasy"
Hell or High Water,"Action,Crime,Drama,Thriller,Western"
Sin City,"Crime,Thriller"
Ip Man,"Action,Adventure,Biography,Drama,History"
Indiana Jones and the Temple of Doom,"Action,Adventure"
The Theory of Everything,"Biography,Drama,Romance"
The Pursuit of Happyness,"Biography,Drama"
Senna,"Documentary,Biography,Sport"
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy,Romance"
Magnolia,Drama
The Hateful Eight,"Crime,Drama,Mystery,Thriller,Western"
The Artist,"Comedy,Drama,Romance"
Moonlight,Drama
Back to the Future Part II,"Adventure,Comedy,Sci-Fi"
Willy Wonka & the Chocolate Factory,"Family,Fantasy,Musical"
What's Eating Gilbert Grape,Drama
The Curious Case of Benjamin Button,"Drama,Fantasy,Romance"
A Silent Voice,"Animation,Drama,Family,Romance"
Snowpiercer,"Action,Drama,Sci-Fi,Thriller"
Hugo,"Drama,Family,Fantasy,Mystery"
Ant-Man and the Wasp,"Action,Adventure,Comedy,Sci-Fi"
As Good as It Gets,"Comedy,Drama,Romance"
Back to the Future Part III,"Adventure,Comedy,Sci-Fi,Western"
Searching for Sugar Man,"Documentary,Biography,Music"
Road to Perdition,"Crime,Drama,Thriller"
To All the Boys I've Loved Before,"Comedy,Drama,Romance"
Molly's Game,"Biography,Crime,Drama"
Blackfish,"Documentary,News"
El Camino: A Breaking Bad Movie,"Action,Crime,Drama"
The Invisible Guest,"Crime,Mystery,Thriller"
Song of the Sea,"Animation,Adventure,Drama,Family,Fantasy"
End of Watch,"Action,Crime,Drama,Thriller"
The Evil Dead,Horror
About Time,"Comedy,Drama,Fantasy,Romance,Sci-Fi"
Kung Fu Hustle,"Action,Comedy,Fantasy"
Blue Is the Warmest Color,"Drama,Romance"
Y Tu Mamá También,Drama
The Naked Gun: From the Files of Police Squad!,"Comedy,Crime"
Mud,Drama
The Edge of Seventeen,"Comedy,Drama"
Philadelphia,Comedy
Lagaan: Once Upon a Time in India,"Adventure,Drama,Musical,Sport"
Tucker and Dale vs. Evil,"Comedy,Horror"
The Matrix Reloaded,"Action,Sci-Fi"
The Two Popes,"Comedy,Drama"
The Last Samurai,"Action,Drama,War"
The Florida Project,Drama
13th,"Documentary,Crime,News"
Bahubali: The Beginning,"Action,Drama"
The Dawn Wall,"Documentary,Biography,Sport"
Dolemite Is My Name,"Biography,Comedy,Drama"
Tarzan,"Action,Adventure,Drama,Fantasy,Romance"
The Platform,"Horror,Sci-Fi,Thriller"
Okja,"Action,Adventure,Drama,Sci-Fi"
Roma,"Action,Drama,History,Romance,War"
Saving Mr. Banks,"Biography,Comedy,Drama"
Icarus,"Documentary,Sport,Thriller"
Jiro Dreams of Sushi,Documentary
Corpse Bride,"Animation,Drama,Family,Fantasy,Musical,Romance"
Jerry Maguire,"Comedy,Drama,Romance,Sport"
The Death of Stalin,"Comedy,Drama,History"
GoldenEye,"Action,Adventure,Thriller"
The Boy in the Striped Pyjamas,"Drama,War"
Amy,Drama
Ralph Breaks the Internet,"Animation,Adventure,Comedy,Family,Fantasy"
Good Time,"Crime,Drama,Thriller"
Ip Man 2,"Action,Biography,Drama,History"
The Little Prince,"Animation,Adventure,Drama,Family,Fantasy"
The Spectacular Now,"Comedy,Drama,Romance"
Baahubali 2: The Conclusion,"Action,Drama"
Black Mirror: Bandersnatch,"Drama,Mystery,Sci-Fi,Thriller"
PK,"Comedy,Drama,Fantasy"
Extraction,"Action,Thriller"
The Lobster,"Comedy,Drama,Romance,Sci-Fi,Thriller"
Blue Valentine,"Drama,Romance"
Zindagi Na Milegi Dobara,"Comedy,Drama"
Green Room,"Horror,Music,Thriller"
Kung Fu Panda 2,"Animation,Action,Adventure,Comedy,Family,Fantasy"
The Ballad of Buster Scruggs,"Comedy,Drama,Musical,Mystery,Romance,Western"
Cloverfield,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller"
Burning,"Drama,Mystery"
The Adventures of Tintin,"Animation,Action,Adventure,Family,Mystery"
Bolt,"Animation,Adventure,Comedy,Drama,Family"
Neon Genesis Evangelion: The End of Evangelion,"Animation,Action,Drama,Fantasy,Sci-Fi"
Chasing Amy,"Comedy,Drama,Romance"
The Princess and the Frog,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance"
Bad Genius,"Comedy,Crime,Drama,Thriller"
The Wicker Man,"Horror,Mystery,Thriller"
A Single Man,"Drama,Romance"
Blow,"Biography,Crime,Drama"
The Squid and the Whale,"Comedy,Drama"
My Life as a Zucchini,"Animation,Comedy,Drama,Family"
Jim & Andy: The Great Beyond- Featuring a Very Special Contractually Obligated Mention of Tony Clifton,Documentary
Barfi!,"Comedy,Drama,Romance"
Frances Ha,"Comedy,Drama,Romance"
Tootsie,"Comedy,Drama,Romance"
Solo: A Star Wars Story,"Action,Adventure,Sci-Fi"
Steve Jobs,"Biography,Drama"
Tremors,"Comedy,Horror"
The Croods,"Animation,Action,Adventure,Comedy,Family,Fantasy"
Locke,Drama
Bill Burr: I'm Sorry You Feel That Way,Comedy
Starred Up,"Crime,Drama"
Mudbound,"Drama,War"
Austin Powers: International Man of Mystery,"Adventure,Comedy"
Blue Ruin,"Crime,Drama,Thriller"
The Patriot,"Action,Drama,History,War"
Babel,Drama
The Square,"Comedy,Drama"
Gerald's Game,"Drama,Horror,Thriller"
Miracle,"Biography,Drama,History,Sport"
Swades,Drama
Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller"
The Witch,"Drama,Horror,Mystery"
Haider,"Action,Crime,Drama,Thriller"
Padman,"Comedy,Drama"
Hush,"Horror,Thriller"
Elizabeth,"Biography,Drama,History"
Miss Americana,Documentary
Christopher Robin,"Comedy,Drama,Family,Fantasy"
I Lost My Body,"Animation,Drama,Fantasy,Romance"
