Title,Language
Inception,"English,Japanese,French"
The Matrix,English
Avengers: Infinity War,English
Back to the Future,English
The Good the Bad and the Ugly,Italian
Spider-Man: Into the Spider-Verse,"English,Spanish"
The Pianist,"English,German,Russian"
Django Unchained,"English,German,French,Italian"
Raiders of the Lost Ark,"English,German,Hebrew,Spanish,Arabic,Nepali"
Inglourious Basterds,"English,German,French,Italian"
Taxi Driver,"English,Spanish"
3 Idiots,"Hindi,English"
Pan's Labyrinth,Spanish
Room,English
Monty Python and the Holy Grail,"English,French,Latin"
Once Upon a Time in the West,"Italian,English,Spanish"
Indiana Jones and the Last Crusade,"English,German,Greek,Arabic"
Groundhog Day,"English,French,Italian"
The King's Speech,English
Her,English
There Will Be Blood,"English,American Sign Language"
The Social Network,"English,French"
Dallas Buyers Club,"English,Japanese"
The Perks of Being a Wallflower,English
Life of Brian,"English,Latin"
Ex Machina,English
Silver Linings Playbook,English
District 9,"English,Nyanja,Afrikaans,Zulu,Xhosa,Southern Sotho"
The Irishman,"English,Italian,Latin,Spanish,German"
Moon,"English,Spanish"
Marriage Story,"English,Spanish"
Drive,"English,Spanish"
Train to Busan,"Korean,Hawaiian"
Incredibles 2,English
Dangal,Hindi
Klaus,"English,Saami"
Minority Report,"English,Swedish"
Mystic River,English
Like Stars on Earth,"Hindi,English"
Ferris Bueller's Day Off,"English,German"
Despicable Me,English
Hell or High Water,English
Sin City,English
Ip Man,"Cantonese,Mandarin,Japanese"
Indiana Jones and the Temple of Doom,"English,Sinhalese,Hindi"
The Theory of Everything,"English,French"
The Pursuit of Happyness,"English,Cantonese"
Senna,"English,Portuguese,French,Japanese"
Scott Pilgrim vs. the World,English
Magnolia,"English,German,French"
The Hateful Eight,"English,Spanish,French"
The Artist,"English,French"
Moonlight,English
Back to the Future Part II,English
Willy Wonka & the Chocolate Factory,"English,French,German,Italian"
What's Eating Gilbert Grape,English
The Curious Case of Benjamin Button,"English,Russian,French"
A Silent Voice,"Japanese,Japanese Sign Language"
Snowpiercer,English
Hugo,English
Ant-Man and the Wasp,"English,Spanish"
As Good as It Gets,English
Back to the Future Part III,English
Searching for Sugar Man,English
Road to Perdition,English
To All the Boys I've Loved Before,English
Molly's Game,English
Blackfish,"English,Spanish"
El Camino: A Breaking Bad Movie,English
The Invisible Guest,Spanish
Song of the Sea,"English,Irish"
End of Watch,"English,Spanish"
The Evil Dead,English
About Time,English
Kung Fu Hustle,"Cantonese,Mandarin"
