,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Runtime
0,1,Inception,2010,13+,8.8,87%,1,0,0,0,0,148
1,2,The Matrix,1999,18+,8.7,87%,1,0,0,0,0,136
2,3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,0,149
3,4,Back to the Future,1985,7+,8.5,96%,1,0,0,0,0,116
4,5,The Good the Bad and the Ugly,1966,18+,8.8,97%,1,0,1,0,0,161
5,6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,0,117
6,7,The Pianist,2002,18+,8.5,95%,1,0,1,0,0,150
7,8,Django Unchained,2012,18+,8.4,87%,1,0,0,0,0,165
8,9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,0,115
9,10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,0,153
10,11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,0,114
11,12,3 Idiots,2009,13+,8.4,100%,1,0,1,0,0,170
12,13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,0,118
13,14,Room,2015,18+,8.1,93%,1,0,0,0,0,118
14,15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,0,91
15,16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,0,165
16,17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,0,127
17,18,Groundhog Day,1993,7+,8,96%,1,0,0,0,0,101
18,19,The King's Speech,2010,18+,8,95%,1,0,0,0,0,118
19,20,Her,2013,18+,8,95%,1,0,0,0,0,126
20,21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,0,158
21,22,The Social Network,2010,13+,7.7,96%,1,0,0,0,0,120
22,23,Dallas Buyers Club,2013,18+,8,93%,1,0,0,0,0,117
23,24,The Perks of Being a Wallflower,2012,13+,8,86%,1,0,0,0,0,103
24,25,Life of Brian,1979,18+,8.1,95%,1,0,0,0,0,94
25,26,Ex Machina,2015,18+,7.7,92%,1,0,0,0,0,108
26,27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,0,122
27,28,District 9,2009,18+,7.9,90%,1,0,0,0,0,112
28,29,The Irishman,2019,18+,7.9,96%,1,0,0,0,0,209
29,30,Moon,2009,18+,7.9,90%,1,0,0,0,0,97
30,31,Marriage Story,2019,18+,8,95%,1,0,0,0,0,137
31,32,Drive,2011,18+,7.8,92%,1,0,1,0,0,100
32,33,Train to Busan,2016,,7.5,94%,1,0,1,0,0,118
33,34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,0,118
34,35,Dangal,2016,7+,8.4,88%,1,0,0,0,0,161
35,36,Klaus,2019,7+,8.2,94%,1,0,0,0,0,96
36,37,Minority Report,2002,13+,7.6,90%,1,0,0,0,0,145
37,38,Mystic River,2003,18+,7.9,88%,1,0,0,0,0,138
38,39,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0,0,165
39,40,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0,0,103
40,41,Despicable Me,2010,7+,7.6,81%,1,0,0,0,0,95
41,42,Hell or High Water,2016,18+,7.6,97%,1,0,0,0,0,102
42,43,Sin City,2005,18+,8,77%,1,0,0,0,0,124
43,44,Ip Man,2008,18+,8,85%,1,0,0,0,0,106
44,45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,1,0,0,0,0,118
45,46,The Theory of Everything,2014,13+,7.7,79%,1,0,0,0,0,123
46,47,The Pursuit of Happyness,2006,13+,8,67%,1,0,0,0,0,117
47,48,Senna,2010,13+,8.5,93%,1,0,0,0,0,106
48,49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,1,0,0,0,0,112
49,50,Magnolia,1999,18+,8,83%,1,0,0,0,0,188
50,51,The Hateful Eight,2015,18+,7.8,75%,1,0,0,0,0,168
51,52,The Artist,2011,13+,7.9,95%,1,0,0,0,0,100
52,53,Moonlight,2016,18+,7.4,98%,1,0,0,0,0,111
53,54,Back to the Future Part II,1989,7+,7.8,65%,1,0,0,0,0,108
54,55,Willy Wonka & the Chocolate Factory,1971,all,7.8,91%,1,0,0,0,0,100
55,56,What's Eating Gilbert Grape,1993,13+,7.8,90%,1,0,1,0,0,118
56,57,The Curious Case of Benjamin Button,2008,13+,7.8,71%,1,0,0,0,0,166
57,58,A Silent Voice,2016,,8.2,94%,1,0,0,0,0,130
58,59,Snowpiercer,2013,18+,7.1,94%,1,0,0,0,0,60
59,60,Hugo,2011,7+,7.5,93%,1,0,0,0,0,126
60,61,Ant-Man and the Wasp,2018,13+,7.1,88%,1,0,0,0,0,118
61,62,As Good as It Gets,1997,13+,7.7,85%,1,0,0,0,0,139
62,63,Back to the Future Part III,1990,7+,7.4,80%,1,0,0,0,0,118
63,64,Searching for Sugar Man,2012,13+,8.2,95%,1,0,0,0,0,86
64,65,Road to Perdition,2002,18+,7.7,81%,1,0,0,0,0,117
65,66,To All the Boys I've Loved Before,2020,13+,7.2,97%,1,0,0,0,0,99
66,67,Molly's Game,2017,18+,7.4,82%,1,0,0,0,0,140
67,68,Blackfish,2013,13+,8.1,98%,1,1,0,0,0,83
68,69,El Camino: A Breaking Bad Movie,2019,18+,7.4,91%,1,0,0,0,0,122
69,70,The Invisible Guest,2016,18+,8.1,67%,1,0,0,0,0,106
70,71,Song of the Sea,2014,7+,8.1,99%,1,0,0,0,0,93
71,72,End of Watch,2012,18+,7.6,85%,1,0,0,0,0,109
72,73,The Evil Dead,1981,18+,7.5,95%,1,0,0,0,0,85
73,74,About Time,2013,18+,7.8,68%,1,0,0,0,0,123
74,75,Kung Fu Hustle,2004,18+,7.7,90%,1,0,0,0,0,99
75,76,Blue Is the Warmest Color,2013,18+,7.7,89%,1,0,0,0,0,180
76,77,Y Tu Mamá También,2001,18+,7.6,92%,1,0,0,0,0,106
77,78,The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%,1,0,0,0,0,85
78,79,Mud,2013,13+,7.4,97%,1,0,0,0,0,130
79,80,The Edge of Seventeen,2016,18+,7.3,94%,1,0,0,0,0,104
80,81,Philadelphia,1993,13+,7.7,80%,1,0,0,0,0,22
81,82,Lagaan: Once Upon a Time in India,2001,7+,8.1,95%,1,0,0,0,0,224
82,83,Tucker and Dale vs. Evil,2010,18+,7.5,85%,1,0,0,0,0,89
83,84,The Matrix Reloaded,2003,18+,7.2,73%,1,0,0,0,0,138
84,85,The Two Popes,2019,13+,7.6,89%,1,0,0,0,0,125
85,86,The Last Samurai,2003,18+,7.7,66%,1,0,0,0,0,154
86,87,The Florida Project,2017,18+,7.6,96%,1,0,0,0,0,111
87,88,13th,2016,18+,8.2,96%,1,0,0,0,0,100
88,89,Bahubali: The Beginning,2015,13+,8.1,88%,1,0,0,0,0,159
89,90,The Dawn Wall,2018,,8.1,100%,1,0,0,0,0,100
90,91,Dolemite Is My Name,2019,18+,7.3,97%,1,0,0,0,0,118
91,92,Tarzan,1999,all,7.3,89%,1,0,0,0,0,110
92,93,The Platform,2019,18+,7,82%,1,0,0,0,0,94
93,94,Okja,2017,13+,7.3,87%,1,0,0,0,0,120
94,95,Roma,2018,18+,7.7,96%,1,0,0,0,0,52
95,96,Saving Mr. Banks,2013,13+,7.5,79%,1,0,0,1,0,125
96,97,Icarus,2017,18+,7.9,93%,1,0,0,0,0,120
97,98,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,0,81
98,99,Corpse Bride,2005,7+,7.3,84%,1,0,0,0,0,77
99,100,Jerry Maguire,1996,18+,7.3,83%,1,0,0,0,0,139
100,101,The Death of Stalin,2017,18+,7.2,96%,1,0,0,0,0,107
101,102,GoldenEye,1995,13+,7.2,78%,1,0,0,0,0,130
102,103,The Boy in the Striped Pyjamas,2008,13+,7.8,63%,1,0,0,0,0,94
103,104,Amy,2015,18+,7.8,95%,1,0,1,1,0,60
104,105,Ralph Breaks the Internet,2018,7+,7.1,88%,1,0,0,0,0,112
105,106,Good Time,2017,18+,7.4,92%,1,0,0,0,0,102
106,107,Ip Man 2,2010,18+,7.5,96%,1,0,0,0,0,108
107,108,The Little Prince,2015,7+,7.7,93%,1,0,0,0,0,108
108,109,The Spectacular Now,2013,18+,7.1,91%,1,0,0,0,0,95
109,110,Baahubali 2: The Conclusion,2017,7+,8.2,89%,1,0,0,0,0,167
110,111,Black Mirror: Bandersnatch,2018,,7.2,92%,1,0,0,0,0,90
111,112,PK,2014,13+,8.1,76%,1,0,0,0,0,153
112,113,Extraction,2020,18+,6.8,68%,1,0,0,0,0,116
113,114,The Lobster,2015,18+,7.2,87%,1,0,0,0,0,119
114,115,Blue Valentine,2010,18+,7.4,87%,1,0,0,0,0,112
115,116,Zindagi Na Milegi Dobara,2011,7+,8.1,91%,1,0,0,0,0,155
116,117,Green Room,2015,18+,7,91%,1,0,0,0,0,95
117,118,Kung Fu Panda 2,2011,7+,7.2,81%,1,0,0,0,0,90
118,119,The Ballad of Buster Scruggs,2018,18+,7.3,91%,1,0,0,0,0,133
119,120,Cloverfield,2008,13+,7,77%,1,0,0,0,0,85
120,121,Burning,2018,18+,7.5,95%,1,0,0,0,0,148
121,122,The Adventures of Tintin,2011,7+,7.3,74%,1,0,0,0,0,107
122,123,Bolt,2008,7+,6.8,89%,1,0,0,1,0,96
123,124,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,88%,1,0,0,0,0,87
124,125,Chasing Amy,1997,18+,7.2,87%,1,0,0,0,0,113
125,126,The Princess and the Frog,2009,all,7.1,85%,1,0,0,1,0,97
126,127,Bad Genius,2017,13+,7.6,100%,1,0,0,0,0,130
127,128,The Wicker Man,1973,18+,7.5,89%,1,0,0,0,0,88
128,129,A Single Man,2009,18+,7.6,85%,1,0,0,0,0,99
129,130,Blow,2001,18+,7.6,55%,1,0,0,0,0,124
130,131,The Squid and the Whale,2005,18+,7.3,92%,1,0,1,0,0,81
131,132,My Life as a Zucchini,2016,13+,7.8,99%,1,0,0,0,0,66
132,133,Jim & Andy: The Great Beyond- Featuring a Very Special Contractually Obligated Mention of Tony Clifton,2017,18+,7.7,94%,1,0,0,0,0,94
133,134,Barfi!,2012,all,8.1,86%,1,0,0,0,0,151
134,135,Frances Ha,2013,18+,7.5,92%,1,0,0,0,0,86
135,136,Tootsie,1982,7+,7.4,90%,1,0,0,0,0,116
136,137,Solo: A Star Wars Story,2018,13+,6.9,70%,1,0,0,0,0,135
137,138,Steve Jobs,2015,18+,7.2,85%,1,0,0,0,0,122
138,139,Tremors,1990,13+,7.1,88%,1,0,0,0,0,96
139,140,The Croods,2013,7+,7.2,71%,1,0,0,0,0,98
140,141,Locke,2014,18+,7.1,91%,1,0,0,0,0,85
141,142,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100%,1,0,0,0,0,80
142,143,Starred Up,2013,18+,7.4,99%,1,0,1,0,0,106
143,144,Mudbound,2017,18+,7.4,97%,1,0,0,0,0,134
144,145,Austin Powers: International Man of Mystery,1997,13+,7,71%,1,0,0,0,0,94
145,146,Blue Ruin,2013,18+,7.1,96%,1,0,0,0,0,90
146,147,The Patriot,2000,18+,7.2,61%,1,1,0,0,0,165
147,148,Babel,2006,18+,7.4,69%,1,0,0,0,0,143
148,149,The Square,2013,,8.1,100%,1,1,1,0,0,151
149,150,Gerald's Game,2017,18+,6.6,90%,1,0,0,0,0,103
150,151,Miracle,2004,7+,7.5,81%,1,0,0,1,0,135
151,152,Swades,2004,all,8.2,83%,1,0,0,0,0,210
152,153,Tinker Tailor Soldier Spy,2011,18+,7.1,83%,1,0,0,0,0,122
153,154,The Witch,2015,18+,6.9,90%,1,0,0,0,0,92
154,155,Haider,2014,13+,8.1,86%,1,0,0,0,0,160
155,156,Padman,2018,13+,7.9,100%,1,0,0,0,0,140
156,157,Hush,2016,18+,6.6,91%,1,0,0,0,0,82
157,158,Elizabeth,1998,18+,7.4,82%,1,0,0,0,0,124
158,159,Miss Americana,2020,18+,7.4,93%,1,0,0,0,0,85
159,160,Christopher Robin,2018,7+,7.3,73%,1,0,0,0,0,104
160,161,I Lost My Body,2019,18+,7.6,96%,1,0,0,0,0,81
161,162,I Am Mother,2019,13+,6.7,90%,1,0,0,0,0,113
162,163,Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94%,1,0,0,0,0,100
163,164,The Autopsy of Jane Doe,2016,18+,6.8,86%,1,0,0,0,0,86
164,165,Virunga,2014,,8.2,100%,1,0,0,0,0,100
165,166,Freedom Writers,2007,13+,7.5,70%,1,0,1,0,0,123
166,167,The Master,2012,18+,7.2,85%,1,0,0,0,0,138
167,168,A Serious Man,2009,18+,7,90%,1,0,0,0,0,106
168,169,The King,2019,18+,7.2,70%,1,0,0,0,0,140
169,170,The Breadwinner,2017,13+,7.7,95%,1,0,0,0,0,94
170,171,The Boy Who Harnessed the Wind,2019,7+,7.6,87%,1,0,1,0,0,113
171,172,Article 15,2019,,8.3,89%,1,0,0,0,0,130
172,173,The Killing of a Sacred Deer,2017,18+,7,79%,1,0,0,0,0,121
173,174,Lawless,2012,18+,7.3,67%,1,0,0,0,0,116
174,175,Kabhi Khushi Kabhie Gham,2001,all,7.4,100%,1,0,0,0,0,210
175,176,Charlie and the Chocolate Factory,2005,7+,6.6,82%,1,0,0,0,0,115
176,177,Freaks,2019,18+,6.7,87%,1,0,0,0,0,105
177,178,Hannah Gadsby: Nanette,2018,,8.2,100%,1,0,0,0,0,69
178,179,The Mask of Zorro,1998,13+,6.7,82%,1,0,0,0,0,136
179,180,The Natural,1984,7+,7.5,82%,1,0,0,0,0,138
180,181,Equilibrium,2002,18+,7.4,40%,1,0,0,0,0,107
181,182,Arthur Christmas,2011,7+,7.1,92%,1,0,0,0,0,97
182,183,The Rainmaker,1997,13+,7.2,83%,1,0,1,0,0,135
183,184,Winter on Fire: Ukraine's Fight for Freedom,2015,,8.4,88%,1,0,0,0,0,102
184,185,Always Be My Maybe,2019,13+,6.8,89%,1,0,0,0,0,101
185,186,The Crying Game,1992,18+,7.2,94%,1,0,0,0,0,112
186,187,War Horse,2011,13+,7.2,74%,1,0,0,0,0,146
187,188,Shot Caller,2017,18+,7.3,69%,1,0,0,0,0,121
188,189,The Invitation,2015,,6.6,88%,1,0,1,0,0,100
189,190,A Most Violent Year,2014,18+,7,89%,1,0,0,0,0,125
190,191,The Other Guys,2010,13+,6.6,78%,1,0,0,0,0,107
191,192,Kapoor & Sons,2016,13+,7.7,100%,1,0,0,0,0,132
192,193,On Body and Soul,2017,,7.6,89%,1,0,0,0,0,116
193,194,The Fundamentals of Caring,2016,18+,7.3,77%,1,0,1,0,0,97
194,195,Insidious,2010,13+,6.8,66%,1,0,0,0,0,103
195,196,Bill Burr: Paper Tiger,2019,18+,8.2,86%,1,0,0,0,0,67
196,197,Bad Boys,1995,18+,6.9,43%,1,0,0,0,0,119
197,198,The Foreigner,2017,18+,7,65%,1,0,0,0,0,113
198,199,The Danish Girl,2015,18+,7.1,67%,1,0,0,0,0,119
199,200,The Girl with All the Gifts,2016,18+,6.6,86%,1,0,0,0,0,111
200,201,Bird Box,2018,18+,6.6,63%,1,0,0,0,0,124
201,202,The Ring,2002,13+,7.1,71%,1,0,1,0,0,115
202,203,Hostiles,2017,18+,7.2,72%,1,0,0,0,0,134
203,204,Sairat,2016,,8.3,100%,1,0,0,0,0,174
204,205,Trumbo,2015,18+,7.5,74%,1,0,1,0,0,124
205,206,LA 92,2017,18+,8.2,92%,1,0,0,0,0,114
206,207,20th Century Women,2016,18+,7.3,88%,1,0,0,0,0,119
207,208,Kal Ho Naa Ho,2003,all,8,70%,1,0,0,0,0,186
208,209,Swiss Army Man,2016,18+,7,71%,1,0,0,0,0,97
209,210,In This Corner of the World,2016,13+,7.8,97%,1,0,0,0,0,129
210,211,A Ghost Story,2017,18+,6.9,91%,1,0,0,0,0,92
211,212,United 93,2006,18+,7.5,90%,1,0,0,0,0,111
212,213,Patriot Games,1992,18+,6.9,72%,1,0,1,0,0,117
213,214,The Secret Life of Pets 2,2019,7+,6.5,60%,1,0,0,0,0,86
214,215,Hitch,2005,13+,6.6,68%,1,1,0,0,0,118
215,216,The Young Offenders,2016,,7.1,100%,1,0,0,0,0,30
216,217,Enemy,2013,18+,6.9,71%,1,0,0,0,0,91
217,218,Mirage,2018,18+,7.4,71%,1,0,1,0,0,128
218,219,Everybody's Everything,2019,18+,7.4,100%,1,0,0,0,0,116
219,220,Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,6.1,78%,1,0,0,0,0,122
220,221,The Guernsey Literary & Potato Peel Pie Society,2018,,7.4,81%,1,0,0,0,0,124
221,222,I Don't Feel at Home in This World Anymore,2017,18+,6.9,88%,1,0,0,0,0,93
222,223,The Endless,2018,,6.5,94%,1,0,0,0,0,111
223,224,Julie & Julia,2009,13+,7,77%,1,0,0,0,0,123
224,225,The Game Changers,2019,,7.9,70%,1,0,0,0,0,108
225,226,Under the Shadow,2016,13+,6.9,99%,1,0,0,0,0,84
226,227,Angel Has Fallen,2019,18+,6.4,39%,1,0,0,0,0,121
227,228,Kon-Tiki,2012,13+,7.2,81%,1,0,1,0,0,118
228,229,Mary Poppins Returns,2018,7+,6.7,79%,1,0,0,0,0,130
229,230,Kajaki,2014,18+,7.1,100%,1,0,0,0,0,108
230,231,The Fear of 13,2015,,7.7,94%,1,0,0,0,0,96
231,232,The Night Comes for Us,2018,18+,7,92%,1,0,0,0,0,121
232,233,Blood Father,2016,18+,6.4,89%,1,0,0,0,0,88
233,234,Stree,2018,7+,7.6,77%,1,0,0,0,0,128
234,235,American Factory,2019,16+,7.4,97%,1,0,0,0,0,110
235,236,Code 8,2019,,6.1,79%,1,0,0,0,0,98
236,237,Salt,2010,13+,6.4,62%,1,0,0,0,0,100
237,238,The Hundred-Foot Journey,2014,7+,7.3,67%,1,0,0,0,0,122
238,239,The Distinguished Citizen,2016,,7.5,100%,1,0,0,0,0,118
239,240,Scooby-Doo on Zombie Island,1998,all,7.8,86%,1,0,0,0,0,77
240,241,Chasing Coral,2017,,8.1,100%,1,0,0,0,0,93
241,242,The End of the Tour,2015,18+,7.3,92%,1,0,0,0,0,106
242,243,The One I Love,2014,18+,7.1,82%,1,0,0,0,0,91
243,244,Underworld,2003,18+,7,31%,1,0,0,0,0,121
244,245,The Death of Mr. Lazarescu,2005,18+,7.9,93%,1,0,0,0,0,153
245,246,Madagascar: Escape 2 Africa,2008,7+,6.6,64%,1,0,0,0,0,89
246,247,The Wolf's Call,2019,16+,6.9,92%,1,0,0,0,0,115
247,248,What Happened to Monday,2017,18+,6.9,59%,1,0,0,0,0,123
248,249,The Willoughbys,2020,7+,6.4,90%,1,0,0,0,0,90
249,250,The White Helmets,2016,16+,7.5,100%,1,0,0,0,0,41
250,251,Suburra,2015,,7.4,91%,1,0,0,0,0,50
251,252,The Matrix Revolutions,2003,18+,6.8,35%,1,0,0,0,0,129
252,253,Richard Pryor: Live in Concert,1979,18+,8.2,92%,1,0,0,0,0,78
253,254,Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52%,1,0,0,0,0,95
254,255,Get Him to the Greek,2010,18+,6.4,72%,1,0,0,0,0,109
255,256,Slow West,2015,18+,6.9,92%,1,0,0,0,0,84
256,257,The Meyerowitz Stories (New and Selected),2017,18+,6.9,93%,1,0,0,0,0,112
257,258,The Battered Bastards of Baseball,2014,,8,100%,1,0,0,0,0,80
258,259,The Perfection,2018,18+,6.1,83%,1,0,0,0,0,90
259,260,Ip Man 3,2015,13+,7.1,78%,1,0,0,0,0,105
260,261,Sinister,2012,18+,6.8,64%,1,0,0,0,0,110
261,262,Rush: Beyond the Lighted Stage,2010,,8.4,90%,1,0,0,0,0,107
